recipe_name,aggregateRating,flavors,willMakeAgainPct,reviewsCount,url
Salted Black Licorice Caramels,3.33,['anise'],100,3,/recipes/food/views/salted-black-licorice-caramels
Nutella–Brown Butter Crispies,2.2,['marshmallow' 'raspberry'],40,5,/recipes/food/views/nutellabrown-butter-crispies
Hazelnut and Buckwheat Financiers With Figs,0.0,['fig' 'hazelnut'],0,0,/recipes/food/views/hazelnut-buckwheat-financiers-with-figs
Grapefruit-Vanilla Shortbread,3.5,['rose' 'vanilla'],75,4,/recipes/food/views/grapefruit-vanilla-shortbread
Free-Form Chocolate Candies,0.0,['chocolate' 'pumpkin'],0,0,/recipes/food/views/free-form-chocolate-candies
Chocolate-Covered Marshmallow Cookies,4.0,['almond' 'chocolate' 'coconut' 'strawberry'],100,1,/recipes/food/views/chocolate-covered-marshmallow-cookies
Chocolate Blackout Cookies,0.0,['chocolate' 'cocoa' 'vanilla'],0,0,/recipes/food/views/chocolate-blackout-cookies
Black-and-White Halvah,0.0,['tahini'],0,0,/recipes/food/views/black-and-white-halvah
Fruity Rum Bundt Cake,3.67,['apricot' 'cherry' 'clove' 'raisin' 'rum' 'vanilla'],100,3,/recipes/food/views/fruity-rum-bundt-cake
Basic Crepes,3.7,['chocolate' 'vanilla'],95,40,/recipes/food/views/basic-crepes-1220
Basic Crepes,3.0,['chocolate' 'vanilla'],67,6,/recipes/food/views/basic-crepes
Boozy Grapefruit-Pomegranate Gummy Candies,0.0,['honey' 'lemon' 'pomegranate'],0,0,/recipes/food/views/boozy-grapefruit-pomegranate-gummy-candies
Dulce de Leche Brownies,4.0,['chocolate' 'vanilla'],100,1,/recipes/food/views/dulce-de-leche-brownies
Double Chocolate Espresso Cookies,1.0,['chocolate' 'cocoa'],0,1,/recipes/food/views/double-chocolate-espresso-cookies
"Chocolate, Pistachio, and Tahini Truffles",3.63,['chocolate' 'cinnamon' 'honey' 'orange' 'pistachio' 'tahini'],88,16,/recipes/food/views/dark-chocolate-tahini-truffles
Christmas Glazed Apple Cake (Weihnachten Gedeckter Apfelkuchen),3.25,['apple' 'cranberry' 'lemon'],75,4,/recipes/food/views/weihnachten-gedeckter-apfelkuchen-christmas-glazed-apple-cake
Milk Chocolate Sauce,0.0,['chocolate'],0,0,/recipes/food/views/milk-chocolate-sauce
Suzette Sauce,4.0,['orange'],100,1,/recipes/food/views/suzette-sauce
3-Ingredient Caramel Apple Tart,3.0,['apple' 'caramel'],100,1,/recipes/food/views/3-ingredient-caramel-apple-tart
Cranberry-Lime Pie,3.56,['cranberry' 'lemon' 'lime' 'pecan'],78,9,/recipes/food/views/cranberry-lime-pie
Apple Pandowdy,4.0,['apple' 'cinnamon' 'ginger' 'lemon' 'vanilla'],100,1,/recipes/food/views/apple-pandowdy
Chocolate-Pecan Sheet Pie With Molasses,3.0,['chocolate' 'lemon' 'pecan' 'vanilla'],50,4,/recipes/food/views/chocolate-pecan-sheet-pie-with-molasses
Spiced Hazelnut-Pear Cake With Chocolate Sauce,3.2,['chocolate' 'cinnamon' 'clove' 'hazelnut' 'nutmeg' 'pear' 'vanilla'],80,10,/recipes/food/views/spiced-hazelnut-pear-cake-with-chocolate-sauce
Bite-Size Stollen (Stollenkonfekt),3.5,['almond' 'cardamom' 'cinnamon' 'clove' 'lemon' 'raisin' 'rum' 'vanilla'],100,2,/recipes/food/views/bite-size-stollen-stollenkonfekt
Vanilla Sugar (Vanillezucker),0.0,['vanilla'],0,0,/recipes/food/views/vanilla-sugar-vanillezucker
"Hershey's ""Perfectly Chocolate"" Chocolate Cake",2.2,['cocoa' 'vanilla'],40,5,/recipes/food/views/hersheys-perfectly-chocolate-chocolate-cake
Karo Classic Pecan Pie,0.0,['pecan' 'vanilla'],0,0,/recipes/food/views/karo-classic-pecan-pie
Toll House Chocolate Chip Cookies,4.0,['chocolate' 'vanilla'],100,1,/recipes/food/views/toll-house-chocolate-chip-cookies
Carnation Lemon Bars,0.0,['lemon'],0,0,/recipes/food/views/carnation-lemon-bars
Philadelphia Classic Cheesecake,3.0,['graham_cracker' 'vanilla'],50,2,/recipes/food/views/philadelphia-classic-cheesecake
Classic Apple Pie,3.67,['apple' 'lemon'],67,3,/recipes/food/views/classic-apple-pie
Almond and Jam Tart,0.0,['almond' 'cinnamon' 'date' 'lemon' 'strawberry' 'vanilla'],0,0,/recipes/food/views/gluten-free-almond-and-jam-tart
Build-Your-Own Thanksgiving Pie Bar,0.0,['cranberry' 'pumpkin'],0,0,/recipes/food/views/build-your-own-thanksgiving-pie-bar
Braised and Brûléed Apples With Ice Cream,0.0,['apple' 'maple' 'vanilla'],0,0,/recipes/food/views/braised-and-bruleed-apples-with-ice-cream
Apple and Nut-Butter Puff Pastry Tarts,0.0,['apple' 'peanut'],0,0,/recipes/food/views/apple-and-nut-butter-puff-pastry-tarts
Apple and Fig Custard,4.0,['apple' 'fig' 'lemon' 'rum' 'vanilla'],100,1,/recipes/food/views/apple-and-fig-custard
Yeasted Apple Coffee Cake,0.0,['apple' 'cinnamon' 'oat' 'orange'],0,0,/recipes/food/views/yeasted-apple-coffee-cake
Giant Chocolate Caramel Cookie Bars,0.0,['chocolate' 'coconut' 'vanilla'],0,0,/recipes/food/views/giant-chocolate-caramel-cookie-bars
Giant Chocolate Candy Bar With Peanuts and Nougat,4.0,['chocolate' 'coconut' 'peanut'],100,2,/recipes/food/views/giant-chocolate-candy-bar-with-peanuts-and-nougat
Pannelet Cookies with Sweet Potato and Coconut,4.0,['almond' 'cardamom' 'coconut' 'lemon' 'yam'],100,1,/recipes/food/views/pannelet-cookies-with-sweet-potato-and-coconut
Apple-Cranberry Crisp With Oatmeal-Cookie Crumble,4.0,['almond' 'apple' 'cinnamon' 'cranberry' 'nutmeg' 'oat' 'orange' 'vanilla'],100,8,/recipes/food/views/apple-cranberry-crisp-with-oatmeal-cookie-crumble
White Chocolate Pumpkin Mousse,1.0,['chocolate' 'cinnamon' 'nutmeg' 'pumpkin' 'vanilla'],100,1,/recipes/food/views/white-chocolate-pumpkin-mousse
Pumpkin Pie–Spice Whipped Cream,0.0,['cinnamon' 'ginger' 'nutmeg'],0,0,/recipes/food/views/pumpkin-piespice-whipped-cream
Stovetop Butterscotch Apples and Cranberries,0.0,['apple' 'cranberry' 'vanilla'],0,0,/recipes/food/views/stovetop-butterscotch-apples-and-cranberries
Orange–Brown Butter Wet Nuts,0.0,['maple' 'orange' 'pecan' 'vanilla' 'walnut'],0,0,/recipes/food/views/orangebrown-butter-wet-nuts
Cinnamon-Oat Crumble Topping,0.0,['cinnamon' 'oat'],0,0,/recipes/food/views/cinnamon-oat-crumble-topping
Pumpkin and Chocolate Mousse Trifle,0.0,['chocolate' 'pumpkin'],0,0,/recipes/food/views/pumpkin-and-chocolate-mousse-trifle
Apple Gingerbread Cake With Cream,3.33,['apple' 'cinnamon' 'clove' 'ginger' 'maple' 'nutmeg'],100,3,/recipes/food/views/apple-gingerbread-cake-with-cream
Semolina Cake With Oranges,3.0,['bay_leaf' 'cardamom' 'lemon' 'orange'],100,1,/recipes/food/views/semolina-cake-with-oranges
Dark Ginger Rye Cake With Yogurt and Honey,4.0,['cinnamon' 'coconut' 'ginger' 'honey' 'nutmeg' 'pepper' 'vanilla'],100,2,/recipes/food/views/dark-ginger-rye-cake-with-yogurt-and-honey
3-Ingredient Caramel-Pear Galette,4.0,['caramel' 'pear'],100,2,/recipes/food/views/3-ingredient-caramel-pear-galette
"""Brown on Blonde"" Blondies",0.0,['almond' 'pecan' 'vanilla' 'walnut'],0,0,/recipes/food/views/blondies
Danish Pastry Braid,4.0,['almond' 'cardamom'],100,2,/recipes/food/views/danish-pastry-braid
Warm Cocoa Pudding With Candied Pecans,0.0,['chocolate' 'cocoa' 'pecan' 'vanilla'],0,0,/recipes/food/views/warm-cocoa-pudding-with-candied-pecans
Fancy Dirt Cake,4.0,['chocolate' 'vanilla'],100,2,/recipes/food/views/fancy-dirt-cake
Salted Butterscotch,4.0,['vanilla'],100,1,/recipes/food/views/salted-butterscotch
3-Ingredient Fudge Pops,0.0,['cocoa' 'coconut'],0,0,/recipes/food/views/3-ingredient-fudge-pops
3-Ingredient Pumpkin Mousse,3.27,['pumpkin'],93,15,/recipes/food/views/3-ingredient-pumpkin-mousse
3-Ingredient Frozen Mud Pie,0.0,['chocolate' 'coffee'],0,0,/recipes/food/views/3-ingredient-frozen-mud-pie
Soft Oatmeal Cookies,4.0,['cinnamon' 'oat' 'raisin' 'vanilla'],100,1,/recipes/food/views/soft-oatmeal-cookies
3-Ingredient Blueberry Champagne Granita,0.0,['blueberry'],0,0,/recipes/food/views/3-ingredient-blueberry-champagne-granita
3-Ingredient Gingersnap Icebox Cake,0.0,['orange'],0,0,/recipes/food/views/3-ingredient-gingersnap-icebox-cake
3-Ingredient Cinnamon-Sugar Twists,0.0,['cinnamon'],0,0,/recipes/food/views/3-ingredient-cinnamon-sugar-twists
Blueberry Peach Slab Pie,2.5,['blueberry' 'lemon' 'peach' 'vanilla'],33,3,/recipes/food/views/blueberry-peach-slab-pie-51249610
Polenta Budino With Plum Marmellata,0.0,['lemon' 'plum' 'vanilla'],0,0,/recipes/food/views/polenta-budino-with-plum-marmellata
Peach Parfait With Salted Graham Cracker Crumble,3.33,['graham_cracker' 'lemon' 'peach' 'raspberry'],100,3,/recipes/food/views/peach-parfait-with-salted-graham-cracker-crumble
Neo-Neapolitan Bombe,3.0,['coconut' 'pistachio' 'strawberry'],100,1,/recipes/food/views/neo-neapolitan-bombe
Maraschino Cherry Parfaits,0.0,['almond' 'brandy' 'cherry' 'lemon' 'vanilla'],0,0,/recipes/food/views/maraschino-cherry-parfaits
Cinnamon Swirl Vanilla Ice Cream Bars,0.0,['almond' 'cinnamon' 'coconut' 'pretzel' 'vanilla'],0,0,/recipes/food/views/cinnamon-swirl-vanilla-ice-cream-bars
No-Bake Butterscotch-Coconut Cookies,3.83,['chocolate' 'coconut' 'oat' 'peanut'],100,6,/recipes/food/views/no-bake-butterscotch-coconut-cookies
Chocolate Grasshopper Ice Cream Tart,4.0,['chocolate' 'cocoa' 'mint'],100,2,/recipes/food/views/chocolate-grasshopper-ice-cream-tart
Mixed Berry Pie Bars,2.8,['blueberry' 'lemon' 'strawberry'],60,5,/recipes/food/views/mixed-berry-pie-bars
Fudgy Chocolate Banana Flax Muffins,3.4,['banana' 'chocolate' 'cocoa' 'coconut' 'vanilla'],80,5,/recipes/food/views/fudgy-chocolate-banana-flax-muffins
Hibiscus-Mint Granita,4.0,['hibiscus' 'lime' 'mint'],100,1,/recipes/food/views/hibiscus-mint-granita
Lemon Blossom Cupcakes,4.0,['lemon' 'vanilla'],100,3,/recipes/food/views/lemon-blossom-cupcakes
Lemon Blueberry Cupcakes with a Citrus Glaze,4.0,['blueberry' 'lemon' 'vanilla'],100,4,/recipes/food/views/lemon-blueberry-cupcakes-with-citrus-glaze
Peach Lattice Pie With Bourbon Caramel,4.0,['cinnamon' 'lemon' 'peach' 'vanilla'],100,1,/recipes/food/views/peach-lattice-pie-with-bourbon-caramel
Gingersnap Peach Upside-Down Cake,0.0,['ginger' 'peach' 'vanilla'],0,0,/recipes/food/views/gingersnap-peach-upside-down-cake
Slow Cooker Amaretto-Poached Peaches,4.0,['basil' 'honey' 'lemon' 'peach' 'pepper' 'vanilla'],100,3,/recipes/food/views/slow-cooker-amaretto-poached-peaches
3-Ingredient Flourless Chocolate Cake,2.71,['chocolate'],57,7,/recipes/food/views/3-ingredient-flourless-chocolate-cake
Ode to Halo-Halo,1.0,['banana' 'blackberry' 'blueberry' 'coconut' 'lime' 'vanilla'],33,3,/recipes/food/views/ode-to-halo-halo
Glazed Blueberry-Blackberry Turnovers,4.0,['blackberry' 'blueberry' 'ginger' 'lime' 'vanilla'],100,2,/recipes/food/views/glazed-blueberry-blackberry-turnovers
Frozen Peaches With Strawberries and Mint,4.0,['lemon' 'mint' 'peach' 'strawberry' 'vanilla'],100,1,/recipes/food/views/frozen-peaches-with-strawberries-and-mint
Blueberry-Lemon Icebox Cake,3.71,['blueberry' 'graham_cracker' 'lemon' 'mascarpone'],100,7,/recipes/food/views/blueberry-lemon-icebox-cake
Blueberry–Chia Seed Jam,4.0,['blueberry' 'lemon' 'maple'],100,1,/recipes/food/views/blueberry-chia-seed-jam
Blueberry and Corn Crisp,3.5700000000000003,['blueberry' 'lemon'],86,7,/recipes/food/views/blueberry-and-corn-crisp
Raspberry Crumble Tart,3.52,['almond' 'raspberry'],100,21,/recipes/food/views/raspberry-crumble-tart-235495
Mini Frozen Key Lime Pies,3.9,['graham_cracker' 'honey' 'lemon' 'lime'],100,10,/recipes/food/views/mini-frozen-key-lime-pies
Frozen Iced Coffee With Coffee Jelly,3.71,['chocolate' 'coffee' 'vanilla'],86,7,/recipes/food/views/frozen-iced-coffee-with-coffee-jelly
"Salted Caramel ""Ding Dong"" Cake",3.71,['chocolate' 'cocoa' 'coffee' 'vanilla'],93,31,/recipes/food/views/salted-caramel-ding-dong-cake-51118070
Spiced Coffee Affogato With Vanilla Ice Cream,0.0,['cardamom' 'cinnamon' 'coffee' 'pistachio' 'vanilla'],0,0,/recipes/food/views/spiced-coffee-affogato-with-vanilla-ice-cream
